"Variable","Measure","Country","Year","Value"
"All causes of death","Number of total deaths","Australia",2000,128784
"All causes of death","Number of total deaths","Australia",2001,128657
"All causes of death","Number of total deaths","Australia",2002,133047
"All causes of death","Number of total deaths","Australia",2003,131784
"All causes of death","Number of total deaths","Australia",2004,132314
"All causes of death","Number of total deaths","Australia",2006,133739
"All causes of death","Number of total deaths","Australia",2007,137854
"All causes of death","Number of total deaths","Australia",2008,143946
"All causes of death","Number of total deaths","Australia",2009,140760
"All causes of death","Number of total deaths","Australia",2010,143473
"All causes of death","Number of total deaths","Australia",2011,146932
"All causes of death","Number of total deaths","Australia",2012,147098
"All causes of death","Number of total deaths","Australia",2013,147678
"All causes of death","Number of total deaths","Australia",2014,153580
"All causes of death","Number of total deaths","Austria",2000,76780
"All causes of death","Number of total deaths","Austria",2001,74767
"All causes of death","Number of total deaths","Austria",2002,76131
"All causes of death","Number of total deaths","Austria",2003,77209
"All causes of death","Number of total deaths","Austria",2004,74292
"All causes of death","Number of total deaths","Austria",2005,75189
"All causes of death","Number of total deaths","Austria",2006,74295
"All causes of death","Number of total deaths","Austria",2007,74625
"All causes of death","Number of total deaths","Austria",2008,75083
"All causes of death","Number of total deaths","Austria",2009,77381
"All causes of death","Number of total deaths","Austria",2010,77199
"All causes of death","Number of total deaths","Austria",2011,76479
"All causes of death","Number of total deaths","Austria",2012,79436
"All causes of death","Number of total deaths","Austria",2013,79526
"All causes of death","Number of total deaths","Austria",2014,78252
"All causes of death","Number of total deaths","Belgium",2000,104825
"All causes of death","Number of total deaths","Belgium",2001,102992
"All causes of death","Number of total deaths","Belgium",2002,105288
"All causes of death","Number of total deaths","Belgium",2003,106209
"All causes of death","Number of total deaths","Belgium",2004,101253
"All causes of death","Number of total deaths","Belgium",2005,102934
"All causes of death","Number of total deaths","Belgium",2006,100102
"All causes of death","Number of total deaths","Belgium",2007,101384
"All causes of death","Number of total deaths","Belgium",2008,103759
"All causes of death","Number of total deaths","Belgium",2009,103816
"All causes of death","Number of total deaths","Belgium",2010,105152
"All causes of death","Number of total deaths","Belgium",2011,104292
"All causes of death","Number of total deaths","Belgium",2012,109076
"All causes of death","Number of total deaths","Belgium",2013,109334
"All causes of death","Number of total deaths","Belgium",2014,104755
"All causes of death","Number of total deaths","Canada",2000,218061
"All causes of death","Number of total deaths","Canada",2001,219537
"All causes of death","Number of total deaths","Canada",2002,223603
"All causes of death","Number of total deaths","Canada",2003,226169
"All causes of death","Number of total deaths","Canada",2004,226584
"All causes of death","Number of total deaths","Canada",2005,230132
"All causes of death","Number of total deaths","Canada",2006,228079
"All causes of death","Number of total deaths","Canada",2007,235217
"All causes of death","Number of total deaths","Canada",2008,238617
"All causes of death","Number of total deaths","Canada",2009,238418
"All causes of death","Number of total deaths","Canada",2010,240075
"All causes of death","Number of total deaths","Canada",2011,242074
"All causes of death","Number of total deaths","Canada",2012,246596
"All causes of death","Number of total deaths","Czech Republic",2000,109001
"All causes of death","Number of total deaths","Czech Republic",2001,107755
"All causes of death","Number of total deaths","Czech Republic",2002,108243
"All causes of death","Number of total deaths","Czech Republic",2003,111288
"All causes of death","Number of total deaths","Czech Republic",2004,107177
"All causes of death","Number of total deaths","Czech Republic",2005,107938
"All causes of death","Number of total deaths","Czech Republic",2006,104441
"All causes of death","Number of total deaths","Czech Republic",2007,104636
"All causes of death","Number of total deaths","Czech Republic",2008,104948
"All causes of death","Number of total deaths","Czech Republic",2009,107421
"All causes of death","Number of total deaths","Czech Republic",2010,106844
"All causes of death","Number of total deaths","Czech Republic",2011,106848
"All causes of death","Number of total deaths","Czech Republic",2012,108189
"All causes of death","Number of total deaths","Czech Republic",2013,109160
"All causes of death","Number of total deaths","Czech Republic",2014,105665
"All causes of death","Number of total deaths","Czech Republic",2015,111173
"All causes of death","Number of total deaths","Denmark",2000,57044
"All causes of death","Number of total deaths","Denmark",2001,57632
"All causes of death","Number of total deaths","Denmark",2002,58397
"All causes of death","Number of total deaths","Denmark",2003,57378
"All causes of death","Number of total deaths","Denmark",2004,55637
"All causes of death","Number of total deaths","Denmark",2005,54712
"All causes of death","Number of total deaths","Denmark",2006,55218
"All causes of death","Number of total deaths","Denmark",2007,55281
"All causes of death","Number of total deaths","Denmark",2008,54265
"All causes of death","Number of total deaths","Denmark",2009,54531
"All causes of death","Number of total deaths","Denmark",2010,54027
"All causes of death","Number of total deaths","Denmark",2011,52205
"All causes of death","Number of total deaths","Denmark",2012,52011
"All causes of death","Number of total deaths","Denmark",2013,52182
"All causes of death","Number of total deaths","Denmark",2014,50993
"All causes of death","Number of total deaths","Finland",2000,49316
"All causes of death","Number of total deaths","Finland",2001,48504
"All causes of death","Number of total deaths","Finland",2002,49389
"All causes of death","Number of total deaths","Finland",2003,49033
"All causes of death","Number of total deaths","Finland",2004,47757
"All causes of death","Number of total deaths","Finland",2005,47751
"All causes of death","Number of total deaths","Finland",2006,48106
"All causes of death","Number of total deaths","Finland",2007,49093
"All causes of death","Number of total deaths","Finland",2008,49090
"All causes of death","Number of total deaths","Finland",2009,49904
"All causes of death","Number of total deaths","Finland",2010,50910
"All causes of death","Number of total deaths","Finland",2011,50568
"All causes of death","Number of total deaths","Finland",2012,51737
"All causes of death","Number of total deaths","Finland",2013,51478
"All causes of death","Number of total deaths","Finland",2014,52409
"All causes of death","Number of total deaths","France",2000,530850
"All causes of death","Number of total deaths","France",2001,531072
"All causes of death","Number of total deaths","France",2002,535140
