T,C
280.50, -0.06
282.25, -0.14
284.08, -0.14
285.81, -0.16
287.64, -0.16
289.52, -0.16
291.38, -0.03
293.22, -0.01
294.95, -0.01
296.81, 0.06
298.65, 0.19
300.48, 0.30
302.34, 0.60
304.12, 1.00
306.00, 1.61
307.67, 2.33
309.17, 3.18
310.21, 4.23
310.95, 5.02
312.03, 5.97
312.94, 7.31
313.88, 9.01
315.04, 11.00
316.00, 13.18
316.95, 15.86
318.05, 18.83
319.00, 22.11
319.90, 25.65
320.81, 29.30
321.87, 32.60
322.83, 35.14
324.13, 36.58
325.24, 36.67
325.88, 35.51
326.82, 33.20
327.89, 30.31
328.85, 26.87
329.80, 23.70
330.94, 20.66
331.88, 18.01
332.85, 15.58
334.00, 13.69
334.96, 11.94
335.91, 10.61
337.06, 9.38
338.03, 8.29
338.95, 7.41
340.04, 6.60
341.26, 5.90
342.57, 5.24
344.24, 4.70
345.62, 4.17
347.21, 3.89
348.48, 3.48
350.10, 3.32
350.94, 3.02
352.51, 3.06
354.43, 2.94
356.31, 2.74
358.10, 2.64
359.81, 2.65
