T,C
300.16, 0.07
301.12, 0.15
302.09, 0.16
303.06, 0.16
304.02, 0.14
305.02, 0.14
305.93, 0.18
306.89, 0.23
307.84, 0.28
308.89, 0.36
309.79, 0.44
310.78, 0.55
311.75, 0.70
312.71, 0.87
313.62, 1.04
314.38, 1.27
315.21, 1.51
315.98, 1.79
316.58, 2.01
316.93, 2.21
317.36, 2.42
317.82, 2.67
318.26, 2.90
318.71, 3.17
319.04, 3.41
319.42, 3.68
319.77, 3.92
320.08, 4.18
320.32, 4.36
320.53, 4.56
320.83, 4.78
321.03, 4.98
321.21, 5.22
321.44, 5.43
321.75, 5.68
321.99, 5.94
322.17, 6.19
322.49, 6.43
322.70, 6.69
322.90, 6.94
323.13, 7.24
323.45, 7.48
323.67, 7.78
323.87, 8.03
324.05, 8.32
324.37, 8.61
324.57, 8.90
324.82, 9.20
325.12, 9.45
325.32, 9.74
325.55, 10.03
325.74, 10.28
326.05, 10.57
326.28, 10.81
326.44, 11.06
326.72, 11.32
327.01, 11.53
327.25, 11.80
327.54, 12.05
327.85, 12.21
328.02, 12.44
328.33, 12.65
328.82, 12.87
329.33, 13.10
329.80, 13.23
330.65, 13.26
331.26, 13.09
331.85, 12.86
332.36, 12.62
332.70, 12.36
333.10, 12.13
333.36, 11.89
333.73, 11.60
334.01, 11.36
334.23, 11.14
334.56, 10.88
334.73, 10.67
334.93, 10.56
335.13, 10.36
335.33, 10.11
335.54, 9.89
335.87, 9.65
336.08, 9.43
336.33, 9.16
336.62, 8.98
336.79, 8.74
337.03, 8.52
337.24, 8.26
337.56, 8.06
337.77, 7.84
337.98, 7.63
338.27, 7.39
338.58, 7.17
338.91, 6.97
339.16, 6.74
339.46, 6.53
339.69, 6.33
340.10, 6.09
340.38, 5.89
340.73, 5.68
341.08, 5.47
341.49, 5.25
341.97, 5.01
342.39, 4.82
342.86, 4.66
343.30, 4.46
343.84, 4.28
344.47, 4.07
345.15, 3.88
345.88, 3.71
346.75, 3.53
347.61, 3.40
348.46, 3.29
349.37, 3.20
350.11, 3.11
350.89, 3.08
351.99, 3.01
352.91, 2.97
353.87, 3.00
354.84, 2.99
355.81, 2.98
356.32, 2.91
