geneId	geneName	type	specific_type	d0_r1	d0_r2	d0_r4	d14_r7	d14_r8	d14_r9	d14_r10	d28_r8	d28_r14
ENSG00000225931.3	AL139246.2	lncRNA	TEC	0	0	0	0	0	0	0	1	1
ENSG00000279839.1	AL512383.1	lncRNA	TEC	1	0	0	0	0	1	0	0	0
ENSG00000280113.2	AL357140.3	lncRNA	TEC	0	0	0	0	1	0	0	0	0
ENSG00000280222.1	AL365209.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279625.1	AL591122.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279443.1	AL513497.1	lncRNA	TEC	4	0	3	1	2	0	1	0	4
ENSG00000278966.2	AL031602.1	lncRNA	TEC	0	0	1	0	0	0	1	0	0
ENSG00000278997.1	AL662907.1	lncRNA	TEC	1	2	1	1	1	3	0	1	9
ENSG00000279179.1	AL662907.2	lncRNA	TEC	1	0	3	0	3	4	2	0	1
ENSG00000279667.1	AL603839.4	lncRNA	TEC	3	1	3	0	1	2	2	3	4
ENSG00000279096.2	AL356289.3	lncRNA	TEC	0	0	1	0	0	0	0	0	0
ENSG00000279214.1	AL109659.3	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279324.1	AL645730.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000280378.1	AL353898.3	lncRNA	TEC	0	3	1	0	1	1	3	0	4
ENSG00000278967.1	AL138847.2	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000280317.1	AL732618.1	lncRNA	TEC	0	1	1	0	0	0	0	0	0
ENSG00000280099.1	AL603750.1	lncRNA	TEC	3	4	2	1	2	1	3	0	1
ENSG00000279778.1	AL445437.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000280040.1	AC095031.1	lncRNA	TEC	0	0	0	1	0	0	0	0	1
ENSG00000280186.1	AL359258.3	lncRNA	TEC	0	0	0	0	0	1	0	0	0
ENSG00000279513.1	AL157902.2	lncRNA	TEC	0	0	0	0	0	0	3	0	0
ENSG00000281741.2	AC241377.3	lncRNA	TEC	1	0	0	1	0	1	1	1	1
ENSG00000281571.2	AC241585.2	lncRNA	TEC	1	2	2	2	2	5	5	0	2
ENSG00000280649.2	AC245100.8	lncRNA	TEC	3	4	4	1	5	3	2	0	3
ENSG00000279430.1	AL590560.2	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279061.1	Z98043.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279838.1	AL356273.3	lncRNA	TEC	0	0	0	2	2	1	0	1	4
ENSG00000279401.1	AL133383.2	lncRNA	TEC	1	0	0	0	0	0	0	0	0
ENSG00000279946.1	AC244034.3	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279333.1	AC096636.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000280157.1	AL359510.2	lncRNA	TEC	1	0	0	2	1	3	4	2	3
ENSG00000279306.1	AL139288.1	lncRNA	TEC	0	0	0	0	0	0	1	1	1
ENSG00000279774.1	AL590483.3	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000280450.1	AL683826.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000278982.1	AL139125.2	lncRNA	TEC	0	2	1	0	0	0	0	0	0
ENSG00000279575.1	AL583859.3	lncRNA	TEC	0	0	0	0	0	0	0	1	0
ENSG00000280086.1	AC026887.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279631.1	AL158211.5	lncRNA	TEC	0	0	0	0	0	1	1	0	0
ENSG00000279819.1	AL390318.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279212.1	AL390961.3	lncRNA	TEC	0	0	1	0	0	0	0	0	0
ENSG00000279029.1	AL353583.1	lncRNA	TEC	0	0	0	0	2	0	1	0	0
ENSG00000279822.1	AC016397.2	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279863.1	AC069547.1	lncRNA	TEC	6	3	4	3	5	2	3	3	5
ENSG00000280401.1	AC022532.1	lncRNA	TEC	0	2	1	1	0	0	3	0	1
ENSG00000279406.1	AL359183.1	lncRNA	TEC	0	0	1	0	0	0	0	0	0
ENSG00000280166.1	AC016542.3	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279502.1	AC016542.2	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279088.1	AC022400.7	lncRNA	TEC	26	30	18	58	61	54	74	36	57
ENSG00000279689.1	AC022400.8	lncRNA	TEC	0	1	0	1	0	0	1	0	1
ENSG00000280238.1	AC022400.9	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279814.1	AC010997.5	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000278992.1	AC012048.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000280259.1	AL512662.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279399.1	AL356095.2	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279359.1	AL359195.2	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000280355.1	AL132656.4	lncRNA	TEC	0	1	0	0	0	2	2	1	1
ENSG00000279910.1	AL731532.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000280134.1	AL731532.2	lncRNA	TEC	0	1	0	0	0	0	0	0	0
ENSG00000281974.1	AC025268.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279315.1	AL158212.4	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279796.1	AL133384.2	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279725.1	AL391005.1	lncRNA	TEC	2	1	0	0	0	0	0	0	0
ENSG00000280446.1	AL607033.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279982.1	AL162274.3	lncRNA	TEC	0	0	0	0	0	0	0	1	1
ENSG00000279672.1	AP006621.5	lncRNA	TEC	4	4	2	5	3	4	5	3	6
ENSG00000285498.1	AC104389.6	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279391.1	AC116456.2	lncRNA	TEC	0	0	0	0	1	0	0	0	0
ENSG00000280288.1	AC131935.2	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279837.1	AC112694.2	lncRNA	TEC	0	0	1	0	0	0	1	0	2
ENSG00000279266.1	AC068860.1	lncRNA	TEC	0	0	0	0	0	0	0	1	0
ENSG00000280321.1	AC129502.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000280331.1	AC061999.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279004.1	AC103798.2	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279675.1	AC080100.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000280010.1	AP001350.2	lncRNA	TEC	0	0	0	0	0	1	0	0	1
ENSG00000279549.1	AP000437.1	lncRNA	TEC	1	3	0	1	1	1	0	1	1
ENSG00000279632.1	AP003108.4	lncRNA	TEC	0	0	1	0	0	0	0	1	0
ENSG00000279878.1	AP003108.5	lncRNA	TEC	0	1	1	2	2	1	1	0	0
ENSG00000279246.1	AP003108.3	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279491.1	AP003733.4	lncRNA	TEC	0	2	0	0	3	2	1	0	2
ENSG00000278952.1	AP003068.4	lncRNA	TEC	1	0	0	2	1	0	0	6	4
ENSG00000279093.1	AP001362.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279353.1	AP001324.3	lncRNA	TEC	0	0	1	0	0	1	0	0	0
ENSG00000279117.1	AP001972.5	lncRNA	TEC	150	170	168	18	22	26	14	16	16
ENSG00000280269.1	AP000577.1	lncRNA	TEC	0	1	0	0	0	0	0	1	0
ENSG00000279459.1	AP001271.2	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000280089.1	AP000590.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000278879.1	AP000560.1	lncRNA	TEC	0	0	0	0	0	1	0	0	0
ENSG00000279295.1	AP001541.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279900.1	AP001767.4	lncRNA	TEC	0	0	0	0	1	0	0	0	1
ENSG00000279742.1	AP000974.1	lncRNA	TEC	12	13	14	1	2	3	5	0	1
ENSG00000279701.1	AP003497.2	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000278929.1	AP001784.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279341.1	AP000756.2	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279793.1	AP000676.3	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000280307.1	AP000676.4	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279733.1	AP001642.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279297.1	AP000720.1	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000278989.1	AP001148.1	lncRNA	TEC	0	0	0	0	1	1	1	6	1
ENSG00000279603.1	AP000720.2	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279248.1	AP003400.4	lncRNA	TEC	0	0	0	0	0	0	0	0	0
ENSG00000279697.1	AP003400.5	lncRNA	TEC	0	0	0	0	0	0	0	0	0
