PAR0_Mwi,PAR0_grs,PAR5_Mwi,PAR5_grs,PBR0_Mwi,PBR0_grs,PBR8_Mwi,PBR8_grs,PCR0_Mwi,PCR0_grs,PCR4_Mwi,PCR4_grs,PDR0_Mwi,PDR0_grs,PDR4_Mwi,PDR4_grs,Fcontr_Mwi,Fcontr_grs,Pcontrol_Mwi,Pcontrol_grs
8201795,0.038464582,1786184,0.045289762,3979280,0.058376303,1786184,0.044905854,4483361,0.049091764,1755270,0.045129851,3196249,0.065447908,1870409,0.051589793,4325840,0.050567665,1668694,0.050047359
7568476,0.048446124,1668694,0.057249218,3672011,0.075562748,1668694,0.054669715,4189972,0.061597,1647220,0.053874019,2987088,0.072703219,1755270,0.05962028,4041299,0.063512319,1558932,0.056916605
6984059,0.054969774,1558932,0.072208813,3388469,0.090492872,1558932,0.069374801,3915782,0.075341145,1545820,0.064607381,2791614,0.084061533,1647220,0.077725377,3775473,0.07704157,1456389,0.072575071
6444770,0.078034264,1456389,0.091154893,3126821,0.127890191,1456389,0.088586284,3659535,0.079328883,1450663,0.084665092,2608932,0.102725195,1545820,0.089552094,3527133,0.089443384,1360592,0.094377459
5947123,0.092400554,1360592,0.10681315,2885377,0.150261373,1360592,0.103054191,3420056,0.098841698,1361363,0.095481337,2438205,0.112532374,1450663,0.098361294,3295128,0.100550732,1271096,0.113107886
5487903,0.116712736,1271096,0.12855388,2662576,0.174360801,1271096,0.126179125,3196249,0.109720866,1277560,0.120304827,2278650,0.131045926,1361363,0.116125704,3078383,0.120886366,1187487,0.129705006
5064143,0.144625403,1187487,0.143472377,2456979,0.203500946,1187487,0.157921555,2987088,0.121955091,1198916,0.134850812,2129536,0.154112811,1277560,0.138708406,2875896,0.140470375,1109377,0.159699289
4673104,0.165764882,1109377,0.176309509,2267258,0.248723378,1109377,0.186501601,2791614,0.137789895,1125113,0.161331965,1990180,0.173126729,1198916,0.159198314,2686727,0.166986038,1036406,0.190930889
4312260,0.201555837,1036406,0.195830958,2092187,0.288857087,1036406,0.21638613,2608932,0.157496289,1055853,0.185989689,1859943,0.201547533,1125113,0.186161281,2510002,0.18652829,968234,0.226642432
3979280,0.237845869,968234,0.23853156,1930634,0.334703608,968234,0.250065521,2438205,0.180532251,990857,0.213009581,1738229,0.227816762,1055853,0.208549305,2344901,0.201560791,904546,0.267132581
3672011,0.274349792,904546,0.268738434,1781556,0.384582703,904546,0.289081434,2278650,0.201245258,929862,0.245499758,1624480,0.260640789,990857,0.241547304,2190660,0.230289572,845047,0.302374796
3388469,0.311673626,845047,0.307904625,1643989,0.434173757,845047,0.334422116,2129536,0.226526742,872622,0.271732261,1518175,0.287160201,929862,0.273620581,2046564,0.261607283,789462,0.334075724
3126821,0.351706737,789462,0.354591712,1517045,0.487941405,789462,0.380434804,1990180,0.254595771,818905,0.307040464,1418826,0.319383789,872622,0.306277894,1911947,0.295138113,737534,0.390181672
2885377,0.39209633,737534,0.400292452,1399903,0.555390999,737534,0.427910095,1859943,0.281619471,768495,0.344710835,1325979,0.352708182,818905,0.344483542,1786184,0.327249207,689021,0.43673041
2662576,0.434018804,689021,0.451294806,1291807,0.62212049,689021,0.480919558,1738229,0.3206451,721188,0.396429893,1239207,0.396490231,768495,0.395732648,1668694,0.359986654,643699,0.491641707
2456979,0.484568181,643699,0.497447622,1192057,0.685297477,643699,0.543218524,1624480,0.354598946,676793,0.443300289,1158114,0.434217847,721188,0.42838996,1558932,0.389592331,601358,0.564515441
2267258,0.535153206,601358,0.558107956,1100010,0.760764211,601358,0.609747179,1518175,0.389946564,635131,0.48975627,1082328,0.470444365,676793,0.47409073,1456389,0.434648079,561802,0.625954654
2092187,0.587591946,561802,0.624563079,1015070,0.825957484,561802,0.681928596,1418826,0.434005261,596033,0.548851924,1011501,0.519980626,635131,0.529038726,1360592,0.47882693,524849,0.699511046
1930634,0.64473627,524849,0.69179906,936689,0.905504799,524849,0.747271357,1325979,0.472643731,559343,0.607408838,945308,0.564913517,596033,0.577757012,1271096,0.524425518,490326,0.770592803
1781556,0.702522264,490326,0.76404897,864361,0.979387308,490326,0.820243369,1239207,0.517747757,524911,0.663313492,883448,0.606043624,559343,0.635673855,1187487,0.56806153,458073,0.848586471
1643989,0.766404128,458073,0.844929417,797617,1.064263381,458073,0.906418335,1158114,0.567962281,492598,0.730531691,825635,0.657731459,524911,0.696754223,1109377,0.613284305,427943,0.934644037
1517045,0.83185452,427943,0.93107038,736028,1.144098737,427943,0.991881765,1082328,0.607336354,462275,0.803966122,771606,0.703314826,492598,0.752529603,1036406,0.670741866,399794,1.015283004
1399903,0.894845176,399794,1.015485235,679748,1.227822645,399794,1.072641148,1011501,0.657667026,433818,0.871142879,721113,0.75310127,462275,0.813901989,968234,0.717008566,373496,1.105692514
1291807,0.966819218,373496,1.103393403,626748,1.311210507,373496,1.166682544,945308,0.70524887,407113,0.948970115,673923,0.804088593,433818,0.886955083,904546,0.77292112,348929,1.193456724
1192057,1.030059412,348929,1.198863564,578353,1.402471488,348929,1.255585067,883448,0.754998804,382052,1.021451391,629822,0.859529175,407113,0.955579241,845047,0.828791917,325977,1.289455495
1100010,1.092051913,325977,1.290182848,533694,1.475825921,325977,1.353342264,825635,0.806065078,358534,1.099817367,588607,0.914319282,382052,1.020893866,789462,0.885790152,304535,1.382040977
1015070,1.159284723,304535,1.39362598,492483,1.570015319,304535,1.447027893,771606,0.857208785,336463,1.182286057,550088,0.967658326,358534,1.084456385,737534,0.935856734,284504,1.472194489
936689,1.223950851,284504,1.484205504,454455,1.651098852,284504,1.541701766,721113,0.912030502,315751,1.259906085,514091,1.021847993,336463,1.156584756,689021,0.992437399,265790,1.573782522
864361,1.286014649,265790,1.587771929,419364,1.723349129,265790,1.640447209,973923,0.963600083,296314,1.330978348,480449,1.08389341,315751,1.231243947,643699,1.04976969,248307,1.65860277
797617,1.344798797,248307,1.67765279,386981,1.807409086,248307,1.73935077,629822,1.018112073,278074,1.410711895,449009,1.135831429,296314,1.30561112,601358,1.11010848,231974,1.752468235
736028,1.4045811,231974,1.769013172,357100,1.893725363,231974,1.832482981,588607,1.075411608,260956,1.491564365,419626,1.194574428,278074,1.371071754,561802,1.166981444,216715,1.842835078
679748,1.463400896,216715,1.865058702,329526,1.9600708,216715,1.919567133,550088,1.12934286,244892,1.571173587,392166,1.253717721,260956,1.446071632,524849,1.235504597,202460,1.936231216
626748,1.526284607,202460,1.95687116,304081,2.030304791,202460,2.00957649,514091,1.188771769,229817,1.651238667,366502,1.309408487,244892,1.518005324,490326,1.284151442,189143,2.013414228
578353,1.583856711,189143,2.042025776,280600,2.093625797,189143,2.09096835,480449,1.238057112,215670,1.724838865,342519,1.366750461,229817,1.587992232,458073,1.350544991,176702,2.09533318
533694,1.640323716,176702,2.135852025,258933,2.148929664,176702,2.174929647,449009,1.289433114,202394,1.796574193,320104,1.419238883,215670,1.658222488,427943,1.405956462,165079,2.178233452
492483,1.697075907,165079,2.210773292,238939,2.20528968,165079,2.245253163,419626,1.349520194,189935,1.860808599,299157,1.475930381,202394,1.720811615,399794,1.463079967,154220,2.242957957
454455,1.75012067,154220,2.284091745,220489,2.255792864,154220,2.311426049,392166,1.402909423,178243,1.931342122,279580,1.528118583,189935,1.789533112,373496,1.52312646,144076,2.311138417
419364,1.804020993,144076,2.355232016,203463,2.302119453,144076,2.371550877,366502,1.456763242,167271,1.990230568,261285,1.584309715,178243,1.852608935,348929,1.573276555,134599,2.358412479
386981,1.846834675,134599,2.399124453,187752,2.341052991,134599,2.428710969,342519,1.508216676,156974,2.051522625,244186,1.630893814,167271,1.9026413,325977,1.622800296,125746,2.405985203
357100,1.897455349,125746,2.448236309,173255,2.368992966,125746,2.470612558,320104,1.559128087,147311,2.098558787,228207,1.677027584,156974,1.955593842,304535,1.67817001,117475,2.440459429
