Nombre de resina,PAR0,PAR3,PAR5
1.00E+00,7634,644,532
2.00E+00,5488,605,510
3.00E+00,4430,575,492
4.00E+00,3775,550,476
5.00E+00,3320,529,463
6.00E+00,2983,510,450
7.00E+00,2721,494,439
8.00E+00,2510,479,429
9.00E+00,2335,466,420
1.00E+01,2188,454,411
2.00E+01,1412,368,346
3.00E+01,1084,318,304
4.00E+01,897,282,274
5.00E+01,774,256,250
6.00E+01,685,235,232
7.00E+01,618,219,216
8.00E+01,565,205,203
9.00E+01,522,193,192
1.00E+02,486,183,182
2.00E+02,304,125,125
3.00E+02,230,98,98
4.00E+02,189,82,82
5.00E+02,162,71,71
6.00E+02,143,64,63
7.00E+02,129,58,57
8.00E+02,118,53,52
9.00E+02,108,49,48
1.00E+03,101,46,45
2.00E+03,63,29,28
3.00E+03,47,22,21
4.00E+03,39,18,17
5.00E+03,33,15,14
6.00E+03,29,14,13
7.00E+03,26,12,11
8.00E+03,24,11,10
9.00E+03,22,10,9
1.00E+04,21,10,9
2.00E+04,13,6,5
3.00E+04,10,4,4
