Filename,midterm_par0
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,12/12/2019
Sample name,OSKT 000_PEO_SU8
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
proceduresegments,Flow ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
1.00000,1.00000,7634.00,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,2.00000,5488.00,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,3.00000,4430.00,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,4.00000,3775.00,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,5.00000,3320.00,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,6.00000,2983.00,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,7.00000,2721.00,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,8.00000,2510.00,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,9.00000,2335.00,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,10.0000,2188.00,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,20.0000,1412.00,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,30.0000,1084.00,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,40.0000,897.000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,50.0000,774.000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,60.0000,685.000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,70.0000,618.000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,80.0000,565.000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,90.0000,522.000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,100.000,486.000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,200.000,304.000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,300.000,230.000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,400.000,189.000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,500.000,162.000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,600.000,143.000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,700.000,129.000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,800.000,118.000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,900.000,108.000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,1000.00,101.000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,2000.00,63.0000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,3000.00,47.0000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,4000.00,39.0000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,5000.00,33.0000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,6000.00,29.0000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,7000.00,26.0000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,8000.00,24.0000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,9000.00,22.0000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,10000.0,21.0000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,20000.0,13.0000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000
1.00000,30000.0,10.0000,1.00000,1.00,1.00000,1.00000,1000000,1.00000,1.00000,1000000,1.00000

