$\dot{\gamma}_{210°C}$,$\omega_{170°C}$,$\omega_{190°C}$,$\omega_{210°C}$,$\omega_{230°C}$,$a_T \omega_{170°C}$,$a_T \omega_{190°C}$,$a_T \omega_{210°C}$,$a_T \omega_{230°C}$,$b_T {G^{*}(\omega)}_{170°C}$,$b_T {G^{*}(\omega)}_{190°C}$,$b_T {G^{*}(\omega)}_{210°C}$,$b_T {G^{*}(\omega)}_{230°C}$,$b_T {G^{\prime\prime}(\omega)}_{170°C}$,$b_T {G^{\prime\prime}(\omega)}_{190°C}$,$b_T {G^{\prime\prime}(\omega)}_{210°C}$,$b_T {G^{\prime\prime}(\omega)}_{230°C}$,$b_T {G^{\prime}(\omega)}_{170°C}$,$b_T {G^{\prime}(\omega)}_{190°C}$,$b_T {G^{\prime}(\omega)}_{210°C}$,$b_T {G^{\prime}(\omega)}_{230°C}$,${G^{*}(\omega)}_{170°C}$,${G^{*}(\omega)}_{190°C}$,${G^{*}(\omega)}_{210°C}$,${G^{*}(\omega)}_{230°C}$,${G^{\prime\prime}(\omega)}_{170°C}$,${G^{\prime\prime}(\omega)}_{190°C}$,${G^{\prime\prime}(\omega)}_{210°C}$,${G^{\prime\prime}(\omega)}_{230°C}$,${G^{\prime}(\omega)}_{170°C}$,${G^{\prime}(\omega)}_{190°C}$,${G^{\prime}(\omega)}_{210°C}$,${G^{\prime}(\omega)}_{230°C}$,${\eta(\dot{\gamma})}_{210°C}$,${\eta^{*}(\omega)}_{170°C}$,${\eta^{*}(\omega)}_{190°C}$,${\eta^{*}(\omega)}_{210°C}$,${\eta^{*}(\omega)}_{230°C}$,${tan\delta}_{170°C}$,${tan\delta}_{190°C}$,${tan\delta}_{210°C}$,${tan\delta}_{230°C}$
5000.0,500.0,500.0,500.0,500.0,950.0,600.0,500.0,425.0,423351.5294674746,356790.01820659166,334575.38448905654,322221.0715789084,192801.40000000002,170824.5,169359.0,165566.5,376900.7,313238.10000000003,288545.0,276431.10000000003,384865.02678861324,339800.0173396111,334575.38448905654,292928.2468899167,175274.0,162690.0,169359.0,150515.0,342637.0,298322.0,288545.0,251301.0,200.0,445.63318891313116,594.6500303443195,669.1507689781131,758.1672272444904,0.5115442873945313,0.5453503261576418,0.5869413782945467,0.598943100107043
2000.0,281.172,281.172,281.172,281.172,534.2268,337.4064,281.172,238.99620000000002,351322.974342641,293716.96118435176,273645.4350889121,261400.2241732015,170086.40000000002,148797.6,146049.0,141611.80000000002,307406.0,253236.90000000002,231412.0,219718.40000000002,319384.5221296736,279730.43922319217,273645.4350889121,237636.56743018318,154624.0,141712.0,146049.0,128738.0,279460.0,241178.0,231412.0,199744.0,300.0,657.6288841043561,870.5139001048935,973.2314565067363,1093.7421773785586,0.5532956415945037,0.5875826153297564,0.6311211173145731,0.6445149791733419
1000.0,158.11700000000002,158.11700000000002,158.11700000000002,158.11700000000002,300.4223,189.74040000000002,158.11700000000002,134.39945,289947.6658770855,239926.3512979452,221232.1790088413,209993.5657041425,149901.40000000002,129436.65000000001,124870.0,120453.3,248191.90000000002,202016.85,182623.0,172012.5,263588.7871609868,228501.286950424,221232.1790088413,190903.24154922043,136274.0,123273.0,124870.0,109503.0,225629.0,192397.0,182623.0,156375.0,500.0,965.1336331460266,1264.497973536185,1399.1675721702366,1562.458519764348,0.6039737799662277,0.6407220486805927,0.6837583436916489,0.7002589928057554
500.0,88.916,88.916,88.916,88.916,168.94039999999998,106.69919999999999,88.916,75.5786,235901.45398538775,193218.6523524644,176238.43798956004,166724.03650152427,130040.90000000001,110763.45000000001,105000.0,100774.96000000002,196821.90000000002,158319.0,141545.0,132820.6,214455.8672594434,184017.7641452042,176238.43798956004,151567.3059104766,118219.0,105489.0,105000.0,91613.6,178929.0,150780.0,141545.0,120746.0,669.1507690000001,1396.359035407681,1810.8725496767026,1982.0778936249949,2205.9688390830775,0.6607034074968283,0.6996219657779547,0.7418135575258752,0.7587298958143541
281.172,50.001999999999995,50.001999999999995,50.001999999999995,50.001999999999995,95.00379999999998,60.002399999999994,50.001999999999995,42.50169999999999,189137.0729249028,153356.26400246983,138523.1185883425,130304.4622226837,110598.40000000001,92915.235,86653.8,82735.18000000001,153430.2,122003.70000000001,108073.0,100668.48000000001,171942.79356809345,146053.584764257,138523.1185883425,118458.60202062153,100544.0,88490.7,86653.8,75213.8,139482.0,116194.0,108073.0,91516.8,973.2314564999999,1990.8369236272954,2555.8354999544995,2770.3515577045423,3065.8647118276144,0.7208385311366341,0.7615771898721104,0.8018080371600678,0.8218578446798839
158.11700000000002,28.1187,28.1187,28.1187,28.1187,53.425529999999995,33.74244,28.1187,23.900895,149124.14913661737,119752.07494990109,107318.0784761356,100455.78695717087,92015.99,76345.185,70188.5,66677.38,117350.20000000001,92260.35,81183.4,75136.49,135567.40830601577,114049.59519038198,107318.0784761356,91323.44268833715,83650.9,72709.7,70188.5,60615.8,106682.0,87867.0,81183.4,68305.9,1399.167572,2791.2525928449822,3549.0046051767767,3816.6088217497822,4203.01360920463,0.7841144710447873,0.8274972401470404,0.8645671405730729,0.8874167531648073
88.916,15.8125,15.8125,15.8125,15.8125,30.04375,18.974999999999998,15.8125,13.440624999999999,115805.54401337141,92215.42720264016,82041.6781862731,76388.46954221102,74950.48000000001,61472.145000000004,55798.1,52671.630000000005,88279.95000000001,68737.62000000001,60144.9,55325.380000000005,105277.7672848831,87824.21638346682,82041.6781862731,69444.06322019183,68136.8,58544.9,55798.1,47883.3,80254.5,65464.4,60144.9,50295.8,1982.0778940000002,3854.563561917917,4859.8380607452,5188.406525614109,5683.401593468387,0.8490090898329689,0.8943013301886216,0.9277278705260129,0.9520337682271681
50.001999999999995,8.89209,8.89209,8.89209,8.89209,16.894970999999998,10.670508,8.89209,7.5582765,88823.01284949978,70007.90859525872,61917.068074400944,57359.480536673276,59959.68000000001,48533.1,43587.8,40894.590000000004,65531.40000000001,50454.39000000001,43975.3,40221.17,80748.19349954525,66674.19866215116,61917.068074400944,52144.98230606661,54508.8,46222.0,43587.8,37176.9,59574.0,48051.8,43975.3,36564.7,2770.351558,5257.364031551151,6560.878694365697,6963.1625494569835,7588.962978090743,0.914976331956894,0.9619202610516151,0.9911882352138587,1.0167429241864423
28.1187,5.00049,5.00049,5.00049,5.00049,9.500931,6.000588,5.00049,4.2504165,67143.01497881667,52478.94254839292,46216.717105501986,42574.85869517009,46977.700000000004,37641.87,33575.1,31233.840000000004,47971.66,36566.775,31760.0,28932.090000000004,61039.10452619697,49979.945284183734,46216.717105501986,38704.41699560917,42707.0,35849.4,33575.1,28394.4,43610.6,34825.5,31760.0,26301.9,3816.6088219999997,7066.993221908114,8745.633352663594,9242.4376622095,10016.63218067455,0.979280266724145,1.0294008700521171,1.0571505037783375,1.0795569901794166
15.8125,2.81201,2.81201,2.81201,2.81201,5.3428189999999995,3.374412,2.81201,2.3902085,50172.84196152836,38850.38855538127,34084.74129988374,31267.86613222751,36252.810000000005,28736.4,25403.8,23521.850000000002,34684.98,26145.210000000003,22724.8,20601.020000000004,45611.67451048032,37000.37005274407,34084.74129988374,28425.332847479553,32957.1,27368.0,25403.8,21383.5,31531.8,24900.2,22724.8,18728.2,5188.406526,9390.705910405792,11513.232099512825,12121.130899208658,13081.64795340135,1.045201986565943,1.0991076376896571,1.1178888263043019,1.1417808438611292
