$_{master} \omega_{210°C}$,$_{master} {\eta^{*}(\omega)}_{210°C}$,$_{master} \omega_{200°C}$,$_{master} {\eta^{*}(\omega)}_{200°C}$
0.01897776,95767.3325244201,0.021562262294314214,96050.62780781687
0.03374688,77135.43950274863,0.038342727391153984,77363.61862832146
0.04250748,67425.8613676898,0.04829639711063453,67625.31798824003
0.06001056,61133.20352888887,0.06818314886207227,61314.04544817541
0.07558896999999999,54685.60836702968,0.08588311780194544,54847.37725535192
0.10671383999999999,49085.86222131779,0.12124675454392297,49231.06615341245
0.1344173,43878.07894845634,0.15272303367170423,44007.87741399718
0.1897656,39332.28016454038,0.21560898871299422,39448.6314208836
0.23903019999999997,34986.14547791403,0.2715827299250483,35089.64016380391
0.28121199999999996,32850.4744,0.3195090940294686,32947.65142487425
0.28121199999999996,32850.47439781077,0.3195090940294686,32947.651422678544
0.3004622,33507.34474574356,0.3413808987955742,33606.46489950996
0.33745439999999993,31232.533134577097,0.38341091283536227,31324.9240270905
0.42505184999999995,27624.84835005405,0.48293789564118733,27706.567126549424
0.500061,25833.24933759699,0.5681622301661028,25909.668273984174
0.500061,25833.249340000002,0.5681622301661028,25909.668276394295
0.5343027999999999,26404.78682828981,0.6070672786559902,26482.89646516044
0.6000732,24726.897159578843,0.6817946761993233,24800.043327000385
0.7558642,21723.788642977663,0.8588022052803901,21788.05112891977
0.889252,20297.864969071587,1.0103555356239884,20357.909341794362
0.889252,20297.86497,1.0103555356239884,20357.90934272552
0.9501158999999999,20683.112425706484,1.0795082373155953,20744.29642281399
1.0671024,19341.54738686385,1.2124266427487862,19398.762817260187
1.3441305,16941.609744156074,1.5271820488186016,16991.72577022837
1.58133,15733.208016192693,1.7966847633160021,15779.749394199134
1.58133,15733.208019999998,1.7966847633160021,15779.749398017702
1.6895788,16046.873655418125,1.919675517685578,16094.342907197532
1.8975959999999998,14998.474389185118,2.1560217159792026,15042.8423061
2.3902085,13081.64795340135,2.715721065873914,13120.345587203676
2.81201,12121.130899208658,3.1949659598516638,12156.987167966117
2.81201,12121.1309,3.1949659598516638,12156.9871687598
3.0045269999999995,12335.501377828728,3.4137010503004035,12371.991789188804
3.374412,11513.232099512825,3.8339591518219964,11547.29010514447
4.2504165,10016.63218067455,4.829263065455617,10046.263001305186
5.00049,9242.437662,5.6814859593595495,9269.778289829073
5.00049,9242.4376622095,5.6814859593595495,9269.778290039194
5.3428189999999995,9390.705910405792,6.0704353237181605,9418.485139732302
6.000588,8745.633352663594,6.817783151231459,8771.50435286604
7.5582765,7588.962978090743,8.587606776877314,7611.412359950862
8.89209,6963.162549,10.10306679632625,6983.760711814587
8.89209,6963.1625494569835,10.10306679632625,6983.760712272922
9.500931,7066.993221908114,10.794823322783143,7087.89853267317
10.670508,6560.878694365697,12.1236801555915,6580.286836370468
13.440624999999999,5683.401593468387,15.271047881810969,5700.214016062163
15.8125,5188.406526,17.965938684483493,5203.754672997683
15.8125,5188.406525614109,17.965938684483493,5203.754672610651
16.894970999999998,5257.364031551151,19.195826913019875,5272.9161660209975
18.974999999999998,4859.8380607452,21.559126421380192,4874.214248996346
23.900895,4203.01360920463,27.155858597582807,4215.446804326113
28.1187,3816.6088219999997,31.948068938332714,3827.8989691654474
28.1187,3816.6088217497822,31.948068938332714,3827.89896891449
30.04375,3854.563561917917,34.13528350051864,3865.9659853525045
33.74244,3549.0046051767767,38.33768272599926,3559.5031357184266
42.50169999999999,3065.8647118276144,48.28982995644661,3074.93403629869
50.001999999999995,2770.3515577045423,56.81156465464308,2778.54670639419
50.001999999999995,2770.351558,56.81156465464308,2778.5467066905217
53.425529999999995,2791.2525928449822,60.701330982832154,2799.5095701824303
60.002399999999994,2555.8354999544995,68.17387758557169,2563.3960753948827
75.5786,2205.9688390830775,85.87133555472596,2212.4944522640976
88.916,1982.0778936249949,101.02510065261878,1987.9412011202285
88.916,1982.0778940000002,101.02510065261878,1987.9412014963432
95.00379999999998,1990.8369236272954,107.94197284382183,1996.7261417521913
106.69919999999999,1810.8725496767026,121.23012078314252,1816.229404030198
134.39945,1562.458519764348,152.70275275435924,1567.0805251756344
158.11700000000002,1399.167572,179.6502973580697,1403.3065363355497
158.11700000000002,1399.1675721702366,179.6502973580697,1403.3065365062898
168.94039999999998,1396.359035407681,191.94769123997565,1400.4896916370228
189.74040000000002,1264.497973536185,215.58035682968364,1268.2385633837328
238.99620000000002,1093.7421773785586,271.54409960629596,1096.9776439195573
281.172,973.2314565067363,319.4636465956423,976.1104328133116
281.172,973.2314564999999,319.4636465956423,976.1104328065553
300.4223,965.1336331460266,341.3355649803324,967.9886547792973
337.4064,870.5139001048935,383.35637591477075,873.089021239944
425.0,758.1672272444904,482.87898440508997,760.4100087216668
500.0,669.1507689781131,568.0929228295176,671.1302253515531
500.0,669.1507690000001,568.0929228295176,671.1302253735049
534.2268,657.6288841043561,606.9809285317203,659.5742568758566
600.0,594.6500303443195,681.7115073954211,596.4091014641643
950.0,445.63318891313116,1079.3765533760834,446.9514440761008
1000.0,500.0,1136.1858456590353,501.47908099729375
2000.0,300.0,2272.3716913180706,300.88744859837624
5000.0,200.0,5680.9292282951765,200.5916323989175
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
