time_sphere,avgTemperature_sphere,surfaceTemperature_sphere,centerTemperature_sphere,surfaceHeatFlux_sphere,centerHeatFlux_sphere,time_cylinder,avgTemperature_cylinder,surfaceTemperature_cylinder,centerTemperature_cylinder,surfaceHeatFlux_cylinder,centerHeatFlux_cylinder
42.985,23.527,23.08,24.992,470.97,0.69468,42.985,21.362,19.753,22,409.42,1.77E-03
57.313,23.151,22.502,24.992,474.33,0.85868,57.313,21.206,19.227,22,463.28,9.32E-04
71.642,22.83,21.985,24.991,469.83,1.0869,71.642,21.074,18.822,22,484.08,4.86E-04
114.63,22.058,20.805,24.985,454.21,1.8977,114.63,20.739,17.996,22,484.94,1.98E-04
243.58,20.356,18.582,24.949,421.62,2.2559,243.58,19.871,16.472,21.994,445,1.60E-03
559.2,17.487,15.414,24.768,374.39,1.3947,564.65,17.985,14.246,21.835,372.71,1.58E-02
989.2,14.624,12.55,24.294,330.37,2.1402,996.65,15.722,12.212,21.23,322.4,3.13E-02
1419.2,12.337,10.352,23.49,297.38,2.1105,1428.6,13.666,10.583,20.244,298.4,3.20E-02
1849.2,10.419,8.5482,22.352,271.18,1.6076,1860.6,11.785,9.15,18.958,277.11,2.20E-02
2279.2,8.7579,7.0061,20.951,248.39,1.0366,2292.6,10.059,7.8278,17.471,257.49,1.57E-02
2709.2,7.2908,5.6558,19.379,228.31,0.56176,2724.6,8.473,6.584,15.871,239.07,2.52E-02
3139.2,5.9762,4.4531,17.72,210.43,0.2287,3156.6,7.014,5.4072,14.228,221.69,3.74E-02
3569.2,4.7862,3.3694,16.04,194.33,0.12913,3588.6,5.6714,4.2945,12.595,205.32,4.68E-02
3999.2,3.7013,2.3841,14.383,179.72,0.23566,4020.6,4.4354,3.2454,11.005,189.93,5.29E-02
4429.2,2.7069,1.4829,12.78,166.4,0.31997,4452.6,3.2974,2.2599,9.4809,175.52,5.61E-02
4859.2,1.792,0.65497,11.247,154.19,0.36819,4884.6,2.2495,1.3374,8.0362,162.07,5.71E-02
5289.2,0.94801,-0.10813,9.7949,142.97,0.39024,5316.6,1.2845,0.47644,6.6769,149.55,5.65E-02
5719.2,0.16783,-0.8131,8.4271,132.62,0.39485,5748.6,0.39583,-0.32491,5.4054,137.93,5.49E-02
6149.2,-0.55442,-1.4655,7.1443,123.07,0.38834,6180.6,-0.42263,-1.0692,4.2208,127.17,5.25E-02
6579.2,-1.2238,-2.0699,5.9446,114.24,0.37503,6612.6,-1.1764,-1.7594,3.1205,117.21,4.98E-02
7009.2,-1.8445,-2.6305,4.8251,106.06,0.3578,7044.6,-1.8707,-2.3984,2.1007,108.01,4.68E-02
7439.2,-2.4206,-3.1506,3.7818,98.491,0.33857,7476.6,-2.5101,-2.9895,1.1572,99.511,4.38E-02
7869.2,-2.9554,-3.6335,2.8105,91.472,0.31856,7908.6,-3.0991,-3.5357,0.28515,91.675,4.08E-02
8299.2,-3.4521,-4.082,1.907,84.965,0.29856,8340.6,-3.6416,-4.0402,-0.52006,84.451,3.80E-02
8729.2,-3.9135,-4.4987,1.0667,78.928,0.27905,8772.6,-4.1413,-4.5058,-1.2631,77.793,3.52E-02
9159.2,-4.3421,-4.8858,0.28564,73.327,0.26031,9204.6,-4.6017,-4.9355,-1.9484,71.66,3.26E-02
