protein,country,collectionDate,tool,cov,pid
E,Australia-Victoria,25-Jan-20,ClustalOmega,1,1
E,Australia-Victoria,25-Jan-20,MUSCLE,1,1
E,Australia-Victoria,25-Jan-20,webPRANK,1,1
E,Brazil,28-Feb-20,ClustalOmega,1,1
E,Brazil,28-Feb-20,MUSCLE,1,1
E,Brazil,28-Feb-20,webPRANK,1,1
E,China,01-Dec-19,ClustalOmega,1,1
E,China,01-Dec-19,MUSCLE,1,1
E,China,01-Dec-19,webPRANK,1,1
E,China,02-Jan-20,ClustalOmega,1,1
E,China,02-Jan-20,MUSCLE,1,1
E,China,02-Jan-20,webPRANK,1,1
E,China,08-Jan-20,ClustalOmega,1,1
E,China,08-Jan-20,MUSCLE,1,1
E,China,08-Jan-20,webPRANK,1,1
E,China,11-Jan-20,ClustalOmega,1,1
E,China,11-Jan-20,MUSCLE,1,1
E,China,11-Jan-20,webPRANK,1,1
E,China-GuangdongGuangzhou,05-Feb-20,ClustalOmega,1,1
E,China-GuangdongGuangzhou,05-Feb-20,MUSCLE,1,1
E,China-GuangdongGuangzhou,05-Feb-20,webPRANK,1,1
E,China-Guangzhou,27-Jan-20,ClustalOmega,1,1
E,China-Guangzhou,27-Jan-20,MUSCLE,1,1
E,China-Guangzhou,27-Jan-20,webPRANK,1,1
E,China-Guangzhou,29-Jan-20,ClustalOmega,1,1
E,China-Guangzhou,29-Jan-20,MUSCLE,1,1
E,China-Guangzhou,29-Jan-20,webPRANK,1,1
E,China-Hangzhou,20-Jan-20,ClustalOmega,1,1
E,China-Hangzhou,20-Jan-20,MUSCLE,1,1
E,China-Hangzhou,20-Jan-20,webPRANK,1,1
E,China-Hubei-Wuhan,23-Dec-19,ClustalOmega,1,1
E,China-Hubei-Wuhan,23-Dec-19,MUSCLE,1,1
E,China-Hubei-Wuhan,23-Dec-19,webPRANK,1,1
E,China-Hubei-Wuhan,01-Jan-20,ClustalOmega,1,1
E,China-Hubei-Wuhan,01-Jan-20,MUSCLE,1,1
E,China-Hubei-Wuhan,01-Jan-20,webPRANK,1,1
E,China-Shenzhen,10-Jan-20,ClustalOmega,1,1
E,China-Shenzhen,10-Jan-20,MUSCLE,1,1
E,China-Shenzhen,10-Jan-20,webPRANK,1,1
E,China-Wuhan,30-Dec-19,ClustalOmega,1,1
E,China-Wuhan,30-Dec-19,MUSCLE,1,1
E,China-Wuhan,30-Dec-19,webPRANK,1,1
E,China-Yunnan,17-Jan-20,ClustalOmega,1,1
E,China-Yunnan,17-Jan-20,MUSCLE,1,1
E,China-Yunnan,17-Jan-20,webPRANK,1,1
E,Finland,29-Jan-20,ClustalOmega,1,1
E,Finland,29-Jan-20,MUSCLE,1,1
E,Finland,29-Jan-20,webPRANK,1,1
E,Japan,10-Feb-20,ClustalOmega,1,1
E,Japan,10-Feb-20,MUSCLE,1,1
E,Japan,10-Feb-20,webPRANK,1,1
E,MERSctrl SaudiArabia,01-May-13,ClustalOmega,1,0.341
E,MERSctrl SaudiArabia,01-May-13,MUSCLE,1,0.354
E,MERSctrl SaudiArabia,01-May-13,webPRANK,1,0.354
E,MERSctrl UnitedArabEmirates,05-Jul-05,ClustalOmega,1,0.341
E,MERSctrl UnitedArabEmirates,05-Jul-05,MUSCLE,1,0.354
E,MERSctrl UnitedArabEmirates,05-Jul-05,webPRANK,1,0.354
E,Nepal,13-Jan-20,ClustalOmega,1,1
E,Nepal,13-Jan-20,MUSCLE,1,1
E,Nepal,13-Jan-20,webPRANK,1,1
E,SouthKorea,01-Jan-20,ClustalOmega,1,0.987
E,SouthKorea,01-Jan-20,MUSCLE,1,0.987
E,SouthKorea,01-Jan-20,webPRANK,1,0.987
E,Sweden,07-Feb-20,ClustalOmega,1,1
E,Sweden,07-Feb-20,MUSCLE,1,1
E,Sweden,07-Feb-20,webPRANK,1,1
E,Taiwan,31-Jan-20,ClustalOmega,1,1
E,Taiwan,31-Jan-20,MUSCLE,1,1
E,Taiwan,31-Jan-20,webPRANK,1,1
E,Taiwan,05-Feb-20,ClustalOmega,1,1
E,Taiwan,05-Feb-20,MUSCLE,1,1
E,Taiwan,05-Feb-20,webPRANK,1,1
E,USA,19-Jan-20,ClustalOmega,1,1
E,USA,19-Jan-20,MUSCLE,1,1
E,USA,19-Jan-20,webPRANK,1,1
