geneId	geneName	type	specific_type	d0_r1	d0_r2	d0_r4	d14_r7	d14_r8	d14_r9	d14_r10	d28_r8	d28_r14
ENSG00000225931.3	AL139246.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.511913	0.329878
ENSG00000279839.1	AL512383.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000280113.2	AL357140.3	lncRNA	TEC	0.1	0.1	0.1	0.1	0.220464	0.1	0.1	0.1	0.1
ENSG00000280222.1	AL365209.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279625.1	AL591122.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279443.1	AL513497.1	lncRNA	TEC	0.644641	0.1	0.437276	0.239732	0.224145	0.1	0.198933	0.1	0.720865
ENSG00000278966.2	AL031602.1	lncRNA	TEC	0.1	0.1	0.666264	0.1	0.1	0.1	0.606264	0.1	0.1
ENSG00000278997.1	AL662907.1	lncRNA	TEC	0.271323	0.240629	0.270028	0.298772	0.280606	0.86532	0.1	0.475971	2.39548
ENSG00000279179.1	AL662907.2	lncRNA	TEC	0.1	0.1	0.114898	0.1	0.35709	0.482942	0.209903	0.1	0.125858
ENSG00000279667.1	AL603839.4	lncRNA	TEC	1.79537	0.540679	1.22608	0.1	0.1	0.637504	1.09214	2.11585	1.97129
ENSG00000279096.2	AL356289.3	lncRNA	TEC	0.1	0.1	0.147141	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279214.1	AL109659.3	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279324.1	AL645730.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000280378.1	AL353898.3	lncRNA	TEC	0.1	0.731153	0.279297	0.1	0.282979	0.288931	0.754973	0.1	0.92038
ENSG00000278967.1	AL138847.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000280317.1	AL732618.1	lncRNA	TEC	0.1	2.2695	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000280099.1	AL603750.1	lncRNA	TEC	0.855034	1.02395	0.583712	0.314422	0.588907	0.303117	0.787952	0.1	0.316993
ENSG00000279778.1	AL445437.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000280040.1	AC095031.1	lncRNA	TEC	0.1	0.1	0.1	1.14048	0.1	0.1	0.1	0.1	1.14954
ENSG00000280186.1	AL359258.3	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.496083	0.1	0.1	0.1
ENSG00000279513.1	AL157902.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.320686	0.1	0.1
ENSG00000281741.2	AC241377.3	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.555443	0.473416	0.1	0.1
ENSG00000281571.2	AC241585.2	lncRNA	TEC	0.506337	0.89785	1.02346	1.13162	1.06637	2.77564	2.71719	0.907426	1.19168
ENSG00000280649.2	AC245100.8	lncRNA	TEC	1.99909	2.21698	2.52965	0.559826	4.66844	1.64849	0.931006	1.78959	1.7632
ENSG00000279430.1	AL590560.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279061.1	Z98043.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279838.1	AL356273.3	lncRNA	TEC	0.1	0.1	0.1	0.192092	0.360486	0.184494	0.1	0.312946	0.764968
ENSG00000279401.1	AL133383.2	lncRNA	TEC	0.208952	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279946.1	AC244034.3	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279333.1	AC096636.1	lncRNA	TEC	0.1	0.1	0.1	1.52428	1.53142	0.937308	1.45002	4.02991	4.00236
ENSG00000280157.1	AL359510.2	lncRNA	TEC	0.183209	0.1	0.1	0.407743	0.191807	0.39241	0.510654	0.327389	0.607063
ENSG00000279306.1	AL139288.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.685652	1.32201	0.869762
ENSG00000279774.1	AL590483.3	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000280450.1	AL683826.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000278982.1	AL139125.2	lncRNA	TEC	0.1	0.482942	0.278883	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279575.1	AL583859.3	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.74385	0.1
ENSG00000280086.1	AC026887.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279631.1	AL158211.5	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.243518	0.207358	0.1	0.1
ENSG00000279819.1	AL390318.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279212.1	AL390961.3	lncRNA	TEC	0.1	0.1	0.170062	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279029.1	AL353583.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.230721	0.1	0.206015	0.1	0.1
ENSG00000279822.1	AC016397.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279863.1	AC069547.1	lncRNA	TEC	1.20516	0.535271	0.607464	0.667812	1.0501	0.212199	0.562491	1.10007	1.09825
ENSG00000280401.1	AC022532.1	lncRNA	TEC	7.7756	6.5377	7.39429	0.22553	0.641714	0.215439	0.3788	0.1	0.1
ENSG00000279406.1	AL359183.1	lncRNA	TEC	0.1	0.1	0.173346	0.193309	0.1	0.1	0.1	0.1	0.1
ENSG00000280166.1	AC016542.3	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279502.1	AC016542.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279088.1	AC022400.7	lncRNA	TEC	9.75066	10.6466	6.609	24.7536	23.1649	23.0415	26.2853	26.1113	24.846
ENSG00000279689.1	AC022400.8	lncRNA	TEC	14.5655	13.9099	12.7302	18.5613	17.0844	18.8426	18.8377	16.0356	18.5912
ENSG00000280238.1	AC022400.9	lncRNA	TEC	0.1	0.1	0.1	10.2415	0.1	0.1	0.1	0.1	0.1
ENSG00000279814.1	AC010997.5	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000278992.1	AC012048.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000280259.1	AL512662.1	lncRNA	TEC	0.1	0.289613	0.1	0.180812	0.1	0.1	0.1	0.1	0.178178
ENSG00000279399.1	AL356095.2	lncRNA	TEC	9.90873	13.9255	10.9612	13.4832	11.6392	13.9215	16.6833	13.9656	15.8135
ENSG00000279359.1	AL359195.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000280355.1	AL132656.4	lncRNA	TEC	0.1	0.211271	0.1	0.1	0.247263	0.50661	0.44002	0.844737	0.268704
ENSG00000279910.1	AL731532.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000280134.1	AL731532.2	lncRNA	TEC	0.1	0.15324	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000281974.1	AC025268.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279315.1	AL158212.4	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279796.1	AL133384.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279725.1	AL391005.1	lncRNA	TEC	0.372836	0.165943	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000280446.1	AL607033.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279982.1	AL162274.3	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.205423	0.129747
ENSG00000279672.1	AP006621.5	lncRNA	TEC	0.846951	1.40459	0.803501	1.62955	0.823755	0.86565	1.46304	2.12117	1.35989
ENSG00000285498.1	AC104389.6	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279391.1	AC116456.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.143783	0.1	0.1	0.1	0.1
ENSG00000280288.1	AC131935.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279837.1	AC112694.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.645396	0.1	1.5358
ENSG00000279266.1	AC068860.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.156509	0.1
ENSG00000280321.1	AC129502.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000280331.1	AC061999.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279004.1	AC103798.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279675.1	AC080100.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000280010.1	AP001350.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.478126	0.1	0.1	0.495761
ENSG00000279549.1	AP000437.1	lncRNA	TEC	0.180901	0.321364	0.1	0.205199	0.190949	0.19591	0.1	0.327015	0.207467
ENSG00000279632.1	AP003108.4	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279878.1	AP003108.5	lncRNA	TEC	0.1	0.1	0.521285	0.571033	1.0792	0.544903	0.479988	0.1	0.1
ENSG00000279246.1	AP003108.3	lncRNA	TEC	0.432942	0.381391	0.848805	0.1	0.606642	0.30691	0.536212	0.279101	1.74901
ENSG00000279491.1	AP003733.4	lncRNA	TEC	0.1	0.40626	0.1	0.1	0.485019	0.50238	0.1	0.1	0.532558
ENSG00000278952.1	AP003068.4	lncRNA	TEC	0.570021	0.1	0.1	0.1	0.583284	0.1	0.1	2.04356	1.87395
ENSG00000279093.1	AP001362.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279353.1	AP001324.3	lncRNA	TEC	0.1	0.1	0.286426	0.1	0.1	0.298389	0.1	0.1	0.1
ENSG00000279117.1	AP001972.5	lncRNA	TEC	29.6302	31.4647	35.341	5.26887	5.13256	4.74375	2.92431	4.60466	3.62999
ENSG00000280269.1	AP000577.1	lncRNA	TEC	0.1	0.463804	0.1	0.1	0.1	0.1	0.1	0.928087	0.1
ENSG00000279459.1	AP001271.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000280089.1	AP000590.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000278879.1	AP000560.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.304228	0.1	0.1	0.1
ENSG00000279295.1	AP001541.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279900.1	AP001767.4	lncRNA	TEC	0.1	0.1	0.1	0.1	1.53543	0.1	0.1	0.1	1.68152
ENSG00000279742.1	AP000974.1	lncRNA	TEC	1.92024	1.91194	2.8271	0.240893	0.22375	0.694686	0.595066	0.1	0.242038
ENSG00000279701.1	AP003497.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000278929.1	AP001784.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279341.1	AP000756.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279793.1	AP000676.3	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000280307.1	AP000676.4	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279733.1	AP001642.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279297.1	AP000720.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000278989.1	AP001148.1	lncRNA	TEC	0.1	0.1	0.1	0.1	0.182261	0.18554	0.162928	1.91456	0.192461
ENSG00000279603.1	AP000720.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279248.1	AP003400.4	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279697.1	AP003400.5	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000279045.1	AP003400.2	lncRNA	TEC	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
