protein,country,collectionDate,cov_ClustalOmega,pid_ClustalOmega,cov_webPRANK,pid_webPRANK,cov_MUSCLE,pid_MUSCLE
E,Australia-Victoria,25-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,Brazil,28-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,China,11-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,China,08-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,China,02-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,China,01-Dec-19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,China-GuangdongGuangzhou,05-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,China-Guangzhou,29-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,China-Guangzhou,27-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,China-Hangzhou,20-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,China-Hubei-Wuhan,01-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,China-Hubei-Wuhan,23-Dec-19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,China-Shenzhen,10-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,China-Wuhan,30-Dec-19,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,China-Yunnan,17-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,Finland,29-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,Japan,10-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,MERSctrl SaudiArabia,01-May-13,1.0000,0.3410,1.0000,0.3540,1.0000,0.3540
E,MERSctrl UnitedArabEmirates,05-Jul-05,1.0000,0.3410,1.0000,0.3540,1.0000,0.3540
E,Nepal,13-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,SouthKorea,01-Jan-20,1.0000,0.9870,1.0000,0.9870,1.0000,0.9870
E,Sweden,07-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,Taiwan,05-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,Taiwan,31-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,USA,19-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,USA-AZ,22-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,USA-CA,23-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,USA-CA,10-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,USA-CA,06-Feb-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,USA-CA,27-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,USA-CA,23-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E,USA-CA,22-Jan-20,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
